Age,Spent,Type,Package,Class
10,7776194,Customer,699
34,1814414,VIP,599
26,2492167,Employee,799
20,9221936,Employee,1499
16,1920669,VIP,1099
27,5421709,VIP,899
16,5242446,Employee,299
36,6003506,VIP,599
43,1326820,VIP,1899
23,4646075,Employee,699
5,1761703,VIP,1499
43,6563190,Customer,399
45,7245778,Customer,299
7,744301,VIP,999
11,8584259,VIP,399
9,7872180,Employee,399
3,9922188,Employee,199
50,4485201,Customer,299
17,3214101,Customer,699
21,9158954,VIP,699
33,2600600,VIP,699
7,5173194,Employee,1499
24,6697381,Employee,699
42,7759358,VIP,699
6,5882627,Customer,299
21,8704936,VIP,699
22,2445949,Customer,699
36,6332594,Customer,1899
12,1746557,Employee,899
0,1508665,Employee,999
31,2610577,Customer,399
4,563902,Customer,399
32,8799882,Customer,599
49,8388691,Employee,199
8,1432031,Employee,599
10,2904529,VIP,899
32,1631920,VIP,1099
17,1315669,VIP,499
48,1644560,VIP,1099
18,3271482,Customer,999
25,4349956,VIP,799
37,6064940,VIP,199
1,7202015,VIP,1699
21,9761545,VIP,799
27,9250224,Customer,899
44,1574758,Employee,699
16,672100,VIP,399
42,9761639,Employee,299
30,9553116,Employee,499
21,3243144,Employee,599
16,6778032,Employee,1899
46,6417779,Customer,299
11,1424108,Employee,1699
34,3833971,Customer,1099
40,4711064,VIP,799
28,3885905,Employee,199
25,1334328,Customer,1099
26,6088056,VIP,499
47,1225432,Customer,199
35,2351063,Customer,799
2,1008405,VIP,299
40,9114887,Customer,1699
34,5031996,Employee,1899
1,3826693,Employee,199
45,4670179,Employee,799
4,751898,Customer,1099
46,4295615,VIP,999
50,4572533,Customer,799
36,4127216,Employee,2099
13,6818459,Employee,1499
43,6540400,Customer,499
29,1411122,Employee,999
46,8798493,VIP,1099
40,389215,Customer,1899
37,6843576,VIP,799
21,4686441,VIP,2099
9,1817912,VIP,799
6,2260023,Employee,599
7,5836528,Customer,1899
21,3944770,Employee,199
33,9958307,Employee,399
49,8473846,VIP,1499
12,7706231,Employee,799
48,9541955,Customer,2099
50,6071420,VIP,799
10,9999478,Employee,699
47,9318124,Customer,699
41,8562277,Customer,1499
48,8451939,Employee,699
7,4020911,Employee,799
15,2449240,VIP,999
26,4445898,Customer,499
19,6203783,Customer,1499
12,3671741,Customer,599
4,8148467,Employee,699
27,6850637,Employee,1099
14,2107868,VIP,1699
46,3635787,Customer,799
13,4304427,VIP,299
11,4701428,Customer,599
