Age,Spent,Type,Package,Class
28,9855200,Employee,299
26,7610870,VIP,699
28,9832613,VIP,1899
25,7125356,VIP,499
31,1535965,VIP,1499
5,3598756,Employee,399
43,8452410,Customer,499
31,6295925,Employee,999
0,658209,Employee,299
45,3550017,VIP,599
48,687975,VIP,1699
36,8032152,Employee,2099
41,9512874,Customer,699
14,9750473,Employee,1899
22,701468,Employee,1099
23,8987332,Employee,399
27,1596843,VIP,699
44,2801565,Customer,1699
19,7265654,Customer,199
43,1893702,VIP,499
48,874434,Customer,1699
48,9183810,VIP,299
15,7942184,Customer,199
32,4852695,Customer,2099
4,3604105,Employee,399
1,4497725,VIP,1099
29,4317796,VIP,2099
10,8744809,Employee,1499
30,4267685,Customer,1099
40,1443890,Customer,999
4,8341862,VIP,199
18,7561261,VIP,799
46,8264837,Customer,599
37,3012202,VIP,599
40,5918628,Customer,799
41,8679744,VIP,399
46,959596,Employee,1699
28,8034628,VIP,799
35,6761513,Customer,1899
26,2185121,Employee,299
13,3130771,Employee,899
21,8433999,VIP,699
6,7102840,Employee,1099
47,3028366,Employee,499
22,8111488,VIP,699
28,5705232,Employee,1899
31,4548966,VIP,699
0,4164759,Employee,1899
44,6627538,Customer,1899
35,5243865,Employee,199
34,2806328,Employee,999
6,557238,Customer,2099
23,8671769,VIP,599
39,6897763,Employee,1899
44,4425469,VIP,299
46,1883923,Employee,299
8,2047292,Employee,499
22,4267034,Employee,399
2,1477749,Employee,399
39,1795910,Employee,299
32,4293199,Customer,599
41,8424069,Employee,1099
41,7264727,Customer,1899
49,4865671,Customer,899
13,6161138,Employee,699
39,5087277,Employee,1099
42,6131378,VIP,1499
9,9186515,Employee,499
21,4053978,Employee,199
19,5036277,Customer,399
8,3102469,Employee,999
10,144143,Customer,2099
11,5548353,Customer,199
28,2927251,Employee,1699
33,5218611,Employee,999
28,947253,Customer,699
27,213166,VIP,999
41,3027169,Employee,1899
39,7318489,Customer,1099
2,7287296,Customer,699
38,4215173,Employee,1499
6,1992917,Employee,1899
18,2477241,Customer,699
46,853952,Employee,1099
43,4249246,Employee,1099
50,9325642,Employee,1499
18,7917478,Employee,1699
29,7506370,Customer,2099
50,7354531,Employee,499
44,7132467,Employee,999
4,6560579,Employee,399
46,7667390,Employee,199
12,1058952,VIP,699
21,6277149,Customer,599
19,5065307,VIP,2099
48,4612393,Customer,399
40,3500426,Customer,1099
25,6605791,VIP,299
18,7447757,Customer,799
43,3737051,VIP,1699
