Age,Spent,Type,Package,Class
43,3899381,VIP,799
46,9929254,VIP,199
31,703911,Customer,699
42,8763728,VIP,699
33,5834623,Customer,1099
27,9427164,Employee,599
39,299038,Customer,299
44,3644642,VIP,499
46,6771256,Customer,899
37,9782601,Employee,899
3,8144701,Employee,1499
30,6800336,Employee,699
44,4908835,Employee,899
3,2334047,Customer,299
39,3012343,VIP,1099
36,5716213,VIP,1099
21,8698899,Customer,499
3,2949647,VIP,599
43,1520437,VIP,1499
18,1931575,VIP,499
5,9039919,Employee,799
50,261667,Customer,499
31,2992944,Employee,999
7,4018513,Employee,699
25,9668963,Customer,199
47,2474587,Customer,999
48,5520680,Employee,1899
34,2188301,VIP,1899
1,6210462,VIP,799
6,9986577,Employee,2099
42,713890,Customer,499
47,625352,Customer,299
26,5999047,VIP,1099
28,6807267,VIP,1699
5,5828143,Customer,199
22,2327038,Customer,199
20,357191,Customer,199
38,1083849,Employee,699
45,3788456,Employee,1499
8,1870637,Customer,599
8,9481814,Employee,1699
16,6841186,Employee,1699
6,8799516,VIP,599
12,3598669,VIP,2099
23,741330,Employee,1899
42,2480878,VIP,299
30,5917725,Employee,1899
49,1134046,Customer,899
40,1009201,Employee,2099
9,5520745,VIP,199
2,1829140,Employee,299
23,9417215,Employee,1099
5,6012682,Customer,899
32,7109878,Customer,799
47,4967682,VIP,599
26,9057975,Customer,999
8,4131651,Employee,599
30,3149375,Customer,799
6,6828501,Customer,899
31,426633,VIP,2099
7,1477783,VIP,399
33,1382331,Customer,499
21,1458918,VIP,799
45,895318,Employee,2099
16,592389,VIP,999
30,7731758,Employee,1699
35,4541693,Employee,1499
39,6860735,VIP,299
1,1093887,Employee,2099
10,8996677,Employee,1099
5,5957739,Employee,699
19,5098870,Employee,1099
29,9655064,VIP,999
4,9748814,VIP,699
4,6733370,Customer,399
31,316835,Employee,1699
50,357930,Customer,1699
25,9342069,Employee,1099
29,4879653,Employee,999
50,9530836,Employee,999
12,6020833,VIP,999
50,3562379,Employee,1899
3,4294355,VIP,499
49,9464703,Employee,1499
42,2974595,VIP,1099
32,6124907,VIP,399
24,7732815,Employee,699
25,765481,Employee,1699
17,2935787,Customer,499
16,9603886,VIP,799
36,9429593,Customer,1699
44,2876612,Customer,1699
30,9837591,Customer,399
24,4592638,Employee,199
47,6449279,VIP,799
17,335907,Employee,999
27,4041726,Customer,1099
0,7329528,Customer,399
20,352701,Customer,1499
30,7050522,Customer,599
